nome,idade,salario
Cliente1,26,3020
Cliente2,27,3040
Cliente3,28,3060
Cliente4,29,3080
Cliente5,,3050
Cliente6,31,3120
,27,3605
Cliente8,33,3160
Cliente9,34,3180
Cliente10,,3100
Cliente11,36,
Cliente12,37,3240
Cliente13,38,3260
,34,3710
Cliente15,,3150
Cliente16,41,3320
Cliente17,42,3340
Cliente18,43,3360
Cliente19,44,3380
Cliente20,,3200
,41,3815
Cliente22,47,
Cliente23,48,3460
Cliente24,49,3480
Cliente25,,3250
Cliente26,51,3520
Cliente27,52,3540
,48,3920
Cliente29,54,3580
Cliente30,,3300
Cliente31,56,3620
Cliente32,57,3640
Cliente33,28,
Cliente34,59,3680
Cliente35,,3350
Cliente36,61,3720
Cliente37,62,3740
Cliente38,63,3760
Cliente39,64,3780
Cliente40,,3400
Cliente41,26,3820
,22,4130
Cliente43,28,3860
Cliente44,39,
Cliente45,,3450
Cliente46,31,3920
Cliente47,32,3940
Cliente48,33,3960
,29,4235
Cliente50,,3000
Cliente51,36,4020
Cliente52,37,4040
Cliente53,38,4060
Cliente54,39,4080
Cliente55,,3050
,36,4340
Cliente57,42,4140
Cliente58,43,4160
Cliente59,44,4180
Cliente60,,3100
Cliente61,46,4220
Cliente62,47,4240
,43,3545
Cliente64,49,4280
Cliente65,,3150
Cliente66,31,
Cliente67,52,4340
Cliente68,53,4360
Cliente69,54,4380
Cliente70,,3200
Cliente71,56,4420
Cliente72,57,4440
Cliente73,58,4460
Cliente74,59,4480
Cliente75,,3250
Cliente76,61,4520
,57,3755
Cliente78,63,4560
Cliente79,64,4580
Cliente80,,3300
Cliente81,26,4620
Cliente82,27,4640
Cliente83,28,4660
,24,3860
Cliente85,,3350
Cliente86,31,4720
Cliente87,32,4740
Cliente88,53,
Cliente89,34,4780
Cliente90,,3400
,31,3965
Cliente92,37,4840
Cliente93,38,4860
Cliente94,39,4880
Cliente95,,3450
Cliente96,41,4920
Cliente97,42,4940
,38,4070
Cliente99,34,
Cliente100,,3000
Cliente101,46,3020
Cliente102,47,3040
Cliente103,48,3060
Cliente104,49,3080
Cliente105,,3050
Cliente106,51,3120
Cliente107,52,3140
Cliente108,53,3160
Cliente109,54,3180
Cliente110,,3100
Cliente111,56,3220
,52,4280
Cliente113,58,3260
Cliente114,59,3280
Cliente115,,3150
Cliente116,61,3320
Cliente117,62,3340
Cliente118,63,3360
,59,4385
Cliente120,,3200
Cliente121,26,
Cliente122,27,3440
Cliente123,28,3460
Cliente124,29,3480
Cliente125,,3250
,26,3590
Cliente127,32,3540
Cliente128,33,3560
Cliente129,34,3580
Cliente130,,3300
Cliente131,36,3620
Cliente132,37,
,33,3695
Cliente134,39,3680
Cliente135,,3350
Cliente136,41,3720
Cliente137,42,3740
Cliente138,43,3760
Cliente139,44,3780
Cliente140,,3400
Cliente141,46,3820
Cliente142,47,3840
Cliente143,48,
Cliente144,49,3880
Cliente145,,3450
Cliente146,51,3920
,47,3905
Cliente148,53,3960
Cliente149,54,3980
Cliente150,,3000
Cliente151,56,4020
Cliente152,57,4040
Cliente153,58,4060
,54,4010
Cliente155,,3050
Cliente156,61,4120
Cliente157,62,4140
Cliente158,63,4160
Cliente159,64,4180
Cliente160,,3100
,21,4115
Cliente162,27,4240
Cliente163,28,4260
Cliente164,29,4280
Cliente165,,3150
Cliente166,31,4320
Cliente167,32,4340
,28,4220
Cliente169,34,4380
Cliente170,,3200
Cliente171,36,4420
Cliente172,37,4440
Cliente173,38,4460
Cliente174,39,4480
Cliente175,,3250
Cliente176,51,
Cliente177,42,4540
Cliente178,43,4560
Cliente179,44,4580
Cliente180,,3300
Cliente181,46,4620
,42,3530
Cliente183,48,4660
Cliente184,49,4680
Cliente185,,3350
Cliente186,51,4720
Cliente187,32,
Cliente188,53,4760
,49,3635
Cliente190,,3400
Cliente191,56,4820
Cliente192,57,4840
Cliente193,58,4860
Cliente194,59,4880
Cliente195,,3450
,56,3740
Cliente197,62,4940
Cliente198,43,
Cliente199,64,4980
Cliente200,,3000
Cliente201,26,3020
Cliente202,27,3040
,23,3845
Cliente204,29,3080
Cliente205,,3050
Cliente206,31,3120
Cliente207,32,3140
Cliente208,33,3160
Cliente209,54,
Cliente210,,3100
Cliente211,36,3220
Cliente212,37,3240
Cliente213,38,3260
Cliente214,39,3280
Cliente215,,3150
Cliente216,41,3320
,37,4055
Cliente218,43,3360
Cliente219,44,3380
Cliente220,,3200
Cliente221,46,3420
Cliente222,47,3440
Cliente223,48,3460
,44,4160
Cliente225,,3250
Cliente226,51,3520
Cliente227,52,3540
Cliente228,53,3560
Cliente229,54,3580
Cliente230,,3300
,51,4265
Cliente232,57,3640
Cliente233,58,3660
Cliente234,59,3680
Cliente235,,3350
Cliente236,61,3720
Cliente237,62,3740
,58,4370
Cliente239,64,3780
Cliente240,,3400
Cliente241,26,3820
Cliente242,27,
Cliente243,28,3860
Cliente244,29,3880
Cliente245,,3450
Cliente246,31,3920
Cliente247,32,3940
Cliente248,33,3960
Cliente249,34,3980
Cliente250,,3000
Cliente251,36,4020
,32,3680
Cliente253,38,
Cliente254,39,4080
Cliente255,,3050
Cliente256,41,4120
Cliente257,42,4140
Cliente258,43,4160
,39,3785
Cliente260,,3100
Cliente261,46,4220
Cliente262,47,4240
